number_of_bedroom,access_to_school,access_to_hospital,access_to_market,total_sqft,loc_lat,loc_long
54,1,1,1,1.522,10.7700763,106.6940423
8,1,1,1,2219.3,10.8137881,106.6063325
21,0,0,0,787.5,10.737073,106.6263651
7,0,0,1,656.7,10.7964012,106.70033
12,1,1,1,1062.6,10.8292714,106.6415899
12,1,0,1,590,10.7420309,106.6282173
45,0,0,0,745.1,10.775651,106.6704864
25,1,0,1,619.8,10.8783651,106.6845103
16,1,0,1,585.4,10.737073,106.6263651
7,0,0,0,724,10.8058889,106.6784338
6,1,1,1,219,10.7732105,106.6819136
10,1,0,0,30.2,10.8430374,106.6371653
3,0,0,1,115.8,10.8012428,106.7109826
20,1,0,1,527.1,10.7427341,106.6393392
13,1,1,1,176.1,10.7918939,106.6722005
17,1,0,1,327.6,10.8038885,106.6869496
11,1,1,1,382.5,10.7427341,106.6393392
10,1,1,1,698,10.7427341,106.6393392
11,1,0,1,554.1,10.8080953,106.7304745
25,1,0,1,852.3,10.8424098,106.6622345
24,0,0,0,712.6,10.8108065,106.6868872
5,0,0,0,176.4,10.7780926,106.6658339
10,1,0,1,451.4,10.7447038,106.7042941
20,1,0,1,459.1,10.7811314,106.6351373
25,1,0,1,902.9,10.8123441,106.6930962
9,1,0,1,420.8,10.8123441,106.6930962
9,1,0,1,368.4,10.8467617,106.7784041
6,0,0,0,537.5,10.7501032,106.6464478
6,0,1,1,328.6,10.7918629,106.6761598
15,0,1,1,387.1,10.8038885,106.6869496
12,1,0,1,405.5,10.7496474,106.6485797
4,0,0,0,148,10.7641625,106.6757687
6,1,0,1,357,10.8005102,106.6462677
15,0,0,0,463.6,10.7770851,106.6403651
15,1,1,1,317,10.8059889,106.7899414
42,1,0,1,930.3,10.8267929,106.6313551
10,1,1,1,539.3,10.747956,106.613701
7,1,0,1,747.6,10.7368266,106.6237944
5,1,1,1,626.7,10.8302,106.62662
40,0,0,0,902,10.8126728,106.7096212
6,1,0,1,432.3,10.7696993,106.6817918
8,0,0,1,393.8,10.8052565,106.6969985
20,0,0,1,784,10.8055563,106.6950205
26,1,0,1,450,10.7933816,106.7188754
16,1,0,1,800,10.7932029,106.6902032
10,1,0,1,322.3,10.7932029,106.6902032
19,0,0,1,896,10.7932029,106.6902032
4,0,0,0,276,10.7719416,106.6697907
5,0,1,1,106.3,10.7784102,106.6613981
5,1,0,1,586,10.8489663,106.7206215
9,0,0,0,422.4,10.7652731,106.6769625
18,0,0,1,861.4,10.8154916,106.7187801
14,0,0,1,334.5,10.8490599,106.6248254
24,1,1,1,618.7,10.7947853,106.6217612
7,1,1,1,989.2,10.7701119,106.6820703
9,1,0,1,500.4,10.8300283,106.7220192
35,1,0,1,761.4,10.7924527,106.6335176
16,0,0,0,411.5,10.7867852,106.6736726
18,1,0,1,539.7,10.7884755,106.698318
15,1,0,1,384,10.8474826,106.6689658
5,1,0,1,939.7,10.7548935,106.6915083
14,1,1,1,372.5,10.8009799,106.6578764
10,0,0,0,232.3,10.7779746,106.6813139
31,1,1,1,434.5,10.8268146,106.6369184
26,1,0,1,785,10.798996,106.6238559
10,1,0,1,431.6,10.7947853,106.6217612
10,0,0,0,147.7,10.7739309,106.6776993
10,0,0,0,491.8,10.7725609,106.6788057
12,1,1,1,497,10.8305097,106.611896
8,1,1,1,220.8,10.8474826,106.6689658
42,1,1,1,900.6,10.8012812,106.6419371
6,1,0,1,298.3,10.7525359,106.7265945
