SalePrice,location_street,location_ward,location_district,number_of_toilet,access_to_school,access_to_hospital,access_to_market,number_of_floor,is_having_basement,is_having_attic_floor,is_having_rooftop,alley_width,number_of_bedroom,loc_lat,loc_long,total_sqft
6730.845,Đường Phú Thọ,Phường 1 Quận 11,Quận 11,1,0,0,1,2.5,0,0,0,120,1,10.7564889,106.6418574,70.1
9733.14684,Đường Phú Thọ,Phường 1 Quận 11,Quận 11,1,1,0,1,2.5,0,0,0,120,2,10.7564889,106.6418574,108.4
13442.52,Đường Huỳnh Tấn Phát,Phường Phú Mỹ Quận 7,Quận 7,5,1,0,1,3,0,0,0,150,4,10.7086888,106.7342406,189.4
16799.4,Đường Huỳnh Tấn Phát,Phường Phú Mỹ Quận 7,Quận 7,7,1,0,1,5.5,0,0,0,150,7,10.7086888,106.7342406,379.4
1566.3,Đường 10,Phường Cát Lái Quận 2,Quận 2,2,1,1,1,1,0,0,0,100,2,10.7691633,106.7860907,23
9929.4795,Đường Huỳnh Tấn Phát,Phường Tân Phú Quận 7,Quận 7,3,1,0,1,3.5,0,0,0,100,3,10.7251178,106.7282506,137.3
14000,Đường Nguyễn Hữu Thọ,Xã Phước Kiển Huyện Nhà Bè,Huyện Nhà Bè,4,1,1,1,3,0,0,0,100,4,10.700191,106.7050059,260.3
19154.3612,Đường Nguyễn Hữu Thọ,Xã Phước Kiển Huyện Nhà Bè,Huyện Nhà Bè,5,1,0,1,3,0,0,1,100,5,10.700191,106.7050059,278.5
8500,Đường Nguyễn Hữu Thọ,Xã Phước Kiển Huyện Nhà Bè,Huyện Nhà Bè,5,0,0,0,4,0,0,0,100,4,10.700191,106.7050059,290.2
4970,Đường Huỳnh Tấn Phát,Phường Tân Phú Quận 7,Quận 7,2,1,0,1,3,0,0,0,85,3,10.7251178,106.7282506,140
16546.2,Đường Lê Văn Lương,Phường Tân Quy Quận 7,Quận 7,4,1,0,1,2,0,0,0,70,3,10.7447038,106.7042941,130
6708.42,Đường Phạm Văn Đồng,Phường 3 Quận Gò Vấp,Quận Gò Vấp,1,1,1,1,1,0,0,0,65,2,10.8140185,106.679326,36.9
12267.405,Đường Phạm Văn Đồng,Phường 3 Quận Gò Vấp,Quận Gò Vấp,3,1,0,1,2,0,0,0,65,3,10.8140185,106.679326,154.1
7701.81,Đường Võ Văn Kiệt,Phường 3 Quận 6,Quận 6,1,1,1,1,1,0,0,0,60,3,10.7414555,106.6457889,44.7
8943.87,Đường Nguyễn Hữu Cảnh,Phường 22 Quận Bình Thạnh,Quận Bình Thạnh,2,0,0,1,3,0,0,0,60,2,10.7971361,106.7196625,83
21429.1,Đường Điện Biên Phủ,Phường 25 Quận Bình Thạnh,Quận Bình Thạnh,1,1,0,1,1.5,0,0,0,60,2,10.8012428,106.7109826,84.7
5893.515,Đường Phạm Văn Đồng,Phường Linh Tây Thành phố Thủ Đức,Thành phố Thủ Đức,2,1,1,1,2,0,0,0,60,2,10.86065,106.7557976,100.9
16001.6,Đường Điện Biên Phủ,Phường 25 Quận Bình Thạnh,Quận Bình Thạnh,2,0,0,1,1,0,0,0,60,2,10.8012428,106.7109826,116.8
5943.6,Đường Phạm Văn Đồng,Phường Hiệp Bình Chánh Thành phố Thủ Đức,Thành phố Thủ Đức,2,1,0,1,3.5,0,0,1,60,3,10.8300283,106.7220192,116.9
16096.41,Đường Vành Đai Trong,Phường Bình Trị Đông B Quận Bình Tân,Quận Bình Tân,4,1,1,1,2,0,0,0,60,4,10.7530772,106.6152198,118.4
29203.2,Đường Vành Đai Trong,Phường Bình Trị Đông B Quận Bình Tân,Quận Bình Tân,1,1,1,1,1,0,0,0,60,1,10.7530772,106.6152198,120
5204.745,Đường Phạm Văn Đồng,Phường Linh Tây Thành phố Thủ Đức,Thành phố Thủ Đức,4,1,0,1,4,0,0,0,60,4,10.86065,106.7557976,143.6
11498.6238,Đường Võ Văn Kiệt,Phường 3 Quận 6,Quận 6,8,1,1,1,4.5,0,0,0,60,8,10.7414555,106.6457889,159.2
15500.8,Đường Phạm Văn Đồng,Phường Linh Đông Thành phố Thủ Đức,Thành phố Thủ Đức,4,1,0,1,4,0,0,1,60,6,10.8518876,106.7454564,197.2
15002.4,Đường Phạm Văn Đồng,Phường Linh Đông Thành phố Thủ Đức,Thành phố Thủ Đức,3,1,0,1,4,0,0,1,60,4,10.8518876,106.7454564,197.2
15999.2,Đường Phạm Văn Đồng,Phường Linh Đông Thành phố Thủ Đức,Thành phố Thủ Đức,3,1,0,1,4,0,0,1,60,4,10.8518876,106.7454564,197.2
15002.4,Đường Phạm Văn Đồng,Phường Linh Đông Thành phố Thủ Đức,Thành phố Thủ Đức,3,1,0,1,3,0,0,0,60,4,10.8518876,106.7454564,197.2
13065.10975,Đường Phạm Văn Đồng,Phường Linh Đông Thành phố Thủ Đức,Thành phố Thủ Đức,5,1,1,1,3,0,0,1,60,3,10.8518876,106.7454564,210.5
16800,Đường Vành Đai Trong,Phường Bình Trị Đông B Quận Bình Tân,Quận Bình Tân,6,0,0,0,3,0,1,1,60,5,10.7530772,106.6152198,217.6
18202.37508,Đường Trường Chinh,Phường Tân Thới Nhất Quận 12,Quận 12,6,1,0,1,4.5,0,0,0,60,8,10.8305097,106.611896,244.4
28228.5,Đường Số 7,Phường Bình Trị Đông B Quận Bình Tân,Quận Bình Tân,4,1,1,1,3,0,0,1,60,6,10.7518125,106.6149499,320.4
3898.467,Đường Thạnh Lộc 29,Phường Thạnh Lộc Quận 12,Quận 12,2,1,0,1,2,0,0,0,59.9,2,10.8777058,106.680671,79.1
12848.484,Đường Phạm Văn Đồng,Phường 1 Quận Gò Vấp,Quận Gò Vấp,3,0,0,1,3,0,0,1,54,3,10.8190169,106.6892506,184.3
16254.652,Đường Phạm Văn Đồng,Phường 3 Quận Gò Vấp,Quận Gò Vấp,5,1,1,1,3.5,0,0,0,54,3,10.8140185,106.679326,261.6
5532.338,Đường Phạm Văn Đồng,Phường 1 Quận Gò Vấp,Quận Gò Vấp,1,1,0,1,2,0,0,0,50,1,10.8190169,106.6892506,28.6
1815.36,Đường Nguyễn Văn Tạo,Xã Hiệp Phước Huyện Nhà Bè,Huyện Nhà Bè,2,1,0,1,1,0,0,0,50,3,10.6174091,106.739443,48.8
5298.2016,Đường Phạm Văn Đồng,Phường 1 Quận Gò Vấp,Quận Gò Vấp,3,1,0,1,3,0,0,0,50,2,10.8190169,106.6892506,64.8
12358.36,Đường Phạm Văn Đồng,Phường 1 Quận Gò Vấp,Quận Gò Vấp,3,1,0,1,2,0,0,0,50,1,10.8190169,106.6892506,103.8
21633.73641,Đường Tản Đà,Phường 10 Quận 5,Quận 5,3,1,0,1,3,0,0,0,50,2,10.7521619,106.664405,150
15320.4,Đường Bờ Tây Kinh Cây Khô,Xã Phước Lộc Huyện Nhà Bè,Huyện Nhà Bè,1,1,1,1,1.5,0,0,0,50,1,10.6991989,106.6826113,225.3
11633.6,Đường Võ Văn Kiệt,Phường An Lạc Quận Bình Tân,Quận Bình Tân,6,1,1,1,3,0,0,0,50,4,10.7262057,106.6200243,228.9
26323.55,Đường Cộng Hòa,Phường 4 Quận Tân Bình,Quận Tân Bình,6,1,1,1,5.5,0,0,0,50,6,10.8009799,106.6578764,435.8
6480.24,Đường Bến Hàm Tử,Phường 6 Quận 5,Quận 5,1,1,0,0,1.5,0,0,0,45,3,10.7508658,106.66925,81.2
24571.12,Đường Cộng Hòa,Phường 12 Quận Tân Bình,Quận Tân Bình,3,1,0,1,3.5,0,0,0,45,3,10.8016275,106.6499332,299.4
5518.8,Đường Đào Sư Tích,Xã Phước Kiển Huyện Nhà Bè,Huyện Nhà Bè,4,1,0,1,3,0,0,0,45,4,10.700191,106.7050059,336
4798.86,Đường Lê Hồng Phong,Phường 10 Quận 10,Quận 10,1,0,0,0,1,0,0,0,40,1,10.7708552,106.6730741,24.2
2419.725,Đường Nguyễn Kiệm,Phường 9 Quận Phú Nhuận,Quận Phú Nhuận,1,0,0,0,2,0,0,0,40,1,10.806668,106.6749304,36.6
8355.6,Đường Hoàng Văn Thụ,Phường 15 Quận Phú Nhuận,Quận Phú Nhuận,3,0,0,0,3,0,0,0,40,2,10.7992527,106.6783145,47.5
7726.752,Đường Lê Đại Hành,Phường 7 Quận 11,Quận 11,1,1,1,1,2,0,0,0,40,3,10.76107,106.657862,67.6
22995.693,Đường Hồng Bàng,Phường 12 Quận 5,Quận 5,2,1,1,1,1.5,0,0,0,40,2,10.7536222,106.6529016,70.1
5049,Đường Dương Đình Cúc,Xã Tân Kiên Huyện Bình Chánh,Huyện Bình Chánh,1,0,0,0,1.5,0,0,0,40,3,10.7035506,106.5955421,85
23626.3797,Đường Lý Thái Tổ,Phường 9 Quận 10,Quận 10,1,0,0,0,2,0,0,0,40,1,10.7677409,106.6721763,94
6355.8,Đường Ba Tháng Hai,Phường 12 Quận 11,Quận 11,3,1,1,1,4,0,0,0,40,3,10.7600348,106.6521343,95.7
8864.856,Đường Kinh Dương Vương,Phường 12 Quận 6,Quận 6,2,0,0,1,2,0,0,0,40,2,10.7471643,106.6253266,96.3
7656.33792,Đường Ba Tháng Hai,Phường 12 Quận 11,Quận 11,2,1,1,1,2,0,0,0,40,3,10.7600348,106.6521343,100
12900,Đường Ba Tháng Hai,Phường 12 Quận 11,Quận 11,3,1,1,1,3,0,0,1,40,4,10.7600348,106.6521343,101.7
16000.66,Đường An Dương Vương,Phường An Lạc Quận Bình Tân,Quận Bình Tân,2,1,1,1,1,0,0,0,40,2,10.7372638,106.6218079,102.7
10634.715,Đường Mai Văn Ngọc,Phường 10 Quận Phú Nhuận,Quận Phú Nhuận,3,1,0,1,3,0,0,0,40,3,10.7951322,106.673804,121.3
26589.6,Đường Lý Chiêu Hoàng,Phường 10 Quận 6,Quận 6,4,0,0,0,3,0,0,0,40,4,10.7360325,106.6338508,123.1
22122.411,Đường Ngô Gia Tự,Phường 4 Quận 10,Quận 10,2,0,0,0,3.5,0,0,0,40,2,10.7638123,106.6716214,151.1
26765.2,Đường Lãnh Binh Thăng,Phường 11 Quận 11,Quận 11,3,0,0,0,3,0,0,0,40,3,10.7651662,106.6466289,164.8
8154.5,Đường Ngô Gia Tự,Phường 4 Quận 10,Quận 10,2,0,0,0,2,0,0,0,40,2,10.7638123,106.6716214,175.3
14715.12,Đường Tên Lửa,Phường Bình Trị Đông B Quận Bình Tân,Quận Bình Tân,5,1,1,1,3,0,0,1,40,4,10.7554716,106.6061042,187.6
