location,number_of_bedroom,access_to_school,access_to_hospital,access_to_market,total_sqft,SalePrice
Phường Bến Thành Quận 1,54,1,1,1,1.522,3044
Phường Bình Hưng Hòa Quận Bình Tân,8,1,1,1,2219.3,68031.84
Phường 10 Quận 6,21,0,0,0,787.5,22160.061
Phường 15 Quận Bình Thạnh,7,0,0,1,656.7,42668.8444
Phường 15 Quận Tân Bình,12,1,1,1,1062.6,35430.20544
Phường 10 Quận 6,12,1,0,1,590,38461.25395
Phường 12 Quận 10,45,0,0,0,745.1,45344
Phường Thạnh Lộc Quận 12,25,1,0,1,619.8,27283.12
Phường 10 Quận 6,16,1,0,1,585.4,24967.13296
Phường 9 Quận Phú Nhuận,7,0,0,0,724,71339.1
Phường 4 Quận 3,6,1,1,1,219,26521.74
Phường 14 Quận Gò Vấp,10,1,0,0,30.2,4493.76
Phường 17 Quận Bình Thạnh,3,0,0,1,115.8,24916.356
Phường 8 Quận 3,20,1,0,1,527.1,35600
Phường 13 Quận Phú Nhuận,13,1,1,1,176.1,14888.02
Phường 5 Quận Phú Nhuận,17,1,0,1,327.6,20508.08375
Phường 8 Quận 3,11,1,1,1,382.5,21368.7522
Phường 8 Quận 3,10,1,1,1,698,51366.447
Phường Thảo Điền Quận 2,11,1,0,1,554.1,23995.74
Phường 11 Quận Gò Vấp,25,1,0,1,852.3,27830.1056
Phường 5 Quận Bình Thạnh,24,0,0,0,712.6,25001.074
Phường 13 Quận 10,5,0,0,0,176.4,10776.42
Phường Tân Hưng Quận 7,10,1,0,1,451.4,46882.602
Phường Phú Thạnh Quận Tân Phú,20,1,0,1,459.1,18927.135
Phường 11 Quận Bình Thạnh,25,1,0,1,902.9,27882
Phường 11 Quận Bình Thạnh,9,1,0,1,420.8,27916.296
Phường Hiệp Phú Quận 9,9,1,0,1,368.4,8395.156
Phường 6 Quận 3,6,0,0,0,537.5,39396.32
Phường 11 Quận Phú Nhuận,6,0,1,1,328.6,17874.24
Phường 5 Quận Phú Nhuận,15,0,1,1,387.1,22381.2435
Phường 2 Quận 6,12,1,0,1,405.5,29471.7
Phường 1 Quận 10,4,0,0,0,148,13046.93376
Phường 13 Quận Tân Bình,6,1,0,1,357,13286
Phường Phú Trung Quận Tân Phú,15,0,0,0,463.6,44798.4
Phường Phú Hữu Quận 9,15,1,1,1,317,33855.6
Phường 15 Quận Tân Bình,42,1,0,1,930.3,26156.9088
Phường Bình Trị Đông B Quận Bình Tân,10,1,1,1,539.3,37584
Phường 10 Quận 6,7,1,0,1,747.6,27000
Phường Tân Hưng Thuận Quận 12,5,1,1,1,626.7,18065.38032
Phường 26 Quận Bình Thạnh,40,0,0,0,902,33148.5
Phường 2 Quận 3,6,1,0,1,432.3,90878.04
Phường 14 Quận Bình Thạnh,8,0,0,1,393.8,18789.28416
Phường 14 Quận Bình Thạnh,20,0,0,1,784,49187.7
Phường 22 Quận Bình Thạnh,26,1,0,1,450,11880
Phường Tân Định Quận 1,16,1,0,1,800,52985.94
Phường Tân Định Quận 1,10,1,0,1,322.3,44730.4
Phường Tân Định Quận 1,19,0,0,1,896,50580
Phường 12 Quận 10,4,0,0,0,276,33353.32
Phường 14 Quận 10,5,0,1,1,106.3,29386.5
Phường Hiệp Bình Phước Thành phố Thủ Đức,5,1,0,1,586,15696.1
Phường 1 Quận 10,9,0,0,0,422.4,27142.5
Phường 27 Quận Bình Thạnh,18,0,0,1,861.4,32196.78
Phường Đông Hưng Thuận Quận 12,14,0,0,1,334.5,17192.9638
Phường Tân Quý Quận Tân Phú,24,1,1,1,618.7,20920.9
Phường 3 Quận 3,7,1,1,1,989.2,36646.08
Phường Hiệp Bình Chánh Thành phố Thủ Đức,9,1,0,1,500.4,10818.948
Phường Tân Thành Quận Tân Phú,35,1,0,1,761.4,21434.52507
Phường 8 Quận 3,16,0,0,0,411.5,29306.664
Phường Đa Kao Quận 1,18,1,0,1,539.7,46975.2
Phường 16 Quận Gò Vấp,15,1,0,1,384,9457.236
Phường 1 Quận 4,5,1,0,1,939.7,47942.42258
Phường 4 Quận Tân Bình,14,1,1,1,372.5,19046.61
Phường 13 Quận 10,10,0,0,0,232.3,9419.24046
Phường 15 Quận Tân Bình,31,1,1,1,434.5,25329.3355
Phường Tân Quý Quận Tân Phú,26,1,0,1,785,22516.1056
Phường Tân Quý Quận Tân Phú,10,1,0,1,431.6,21120
Phường 12 Quận 10,10,0,0,0,147.7,23354.5
Phường 11 Quận 10,10,0,0,0,491.8,41484.3408
Phường Tân Thới Nhất Quận 12,12,1,1,1,497,12061.062
Phường 16 Quận Gò Vấp,8,1,1,1,220.8,15604.442
Phường 13 Quận Tân Bình,42,1,1,1,900.6,51190.60248
Phường Tân Thuận Tây Quận 7,6,1,0,1,298.3,15001.14
Phường Bến Thành Quận 1,2,1,0,1,62.8,1108.8
Phường 3 Quận 8,5,0,0,0,217.9,7044.21
Phường 5 Quận Bình Thạnh,14,0,0,0,106.3,10030.527
Phường 12 Quận 10,14,0,0,0,551.6,35017.0128
Phường Bình An Quận 2,14,0,0,1,159,24499.2
Thị trấn Nhà Bè Huyện Nhà Bè,4,1,0,1,4,1504
Phường Sơn Kỳ Quận Tân Phú,8,1,0,1,494.2,22754.16
Phường Tân Thuận Đông Quận 7,26,1,1,1,238,5881.2
Phường 7 Quận Phú Nhuận,10,0,0,0,327.9,26502.4
Phường 1 Quận 10,5,0,0,0,540,26664
Phường 1 Quận 10,10,0,0,0,350.6,36299.52
Phường 2 Quận 3,4,1,1,1,65.4,5647.104
Phường 5 Quận 10,6,1,1,1,94.5,17690.4
Phường 19 Quận Bình Thạnh,5,0,0,1,143.7,15569.6184
Phường 2 Quận 8,13,0,0,0,302.8,7042.51872
Phường 6 Quận 10,10,0,0,0,122.5,14859.425
Phường 8 Quận 11,5,0,0,0,246.1,17637.9861
Phường 8 Quận Tân Bình,5,0,0,0,236.8,13601.224
Phường Nguyễn Cư Trinh Quận 1,14,1,1,1,400,17816.5
Phường 7 Quận 5,5,1,1,1,208.4,16932.24
Phường Tân Thới Hòa Quận Tân Phú,54,1,0,1,1584.9,30084.9024
Phường 8 Quận 3,8,0,0,0,364,20812.54
Phường 3 Quận Bình Thạnh,35,0,0,1,626.9,60622.1364
Phường 16 Quận Gò Vấp,73,1,0,1,1478.4,32672.0212
Phường Bình Thuận Quận 7,50,0,0,0,1410.6,41994.23
Phường 10 Quận 11,10,0,0,0,581.3,52699.248
Phường Bình Hưng Hòa Quận Bình Tân,51,1,0,1,885.1,17064
Phường Trường Thọ Thành phố Thủ Đức,15,1,0,1,596.1,22075.81614
Phường 12 Quận Tân Bình,18,1,0,1,509.9,17431.512
Phường Tân Quý Quận Tân Phú,40,1,0,1,1027.1,31151.952
Phường 12 Quận Gò Vấp,23,1,0,1,676.8,31743.04
Phường 8 Quận 3,13,0,0,0,811,40496
Phường 9 Quận Phú Nhuận,5,0,0,0,189.6,11972.48
Phường Đa Kao Quận 1,9,0,0,1,212.9,38396.99968
Phường Bình Hưng Hòa Quận Bình Tân,28,1,1,1,639,14214.375
Phường Thạnh Mỹ Lợi Quận 2,6,1,1,1,486.2,36000.3
Phường 11 Quận 3,10,1,1,1,96.9,25678.5
Phường Đa Kao Quận 1,12,1,1,1,302.9,36310.3
Phường 13 Quận Bình Thạnh,6,0,0,1,210.5,10510.056
Phường 5 Quận Phú Nhuận,12,1,0,1,608.7,20271.6
Phường 15 Quận 4,10,1,0,1,1281.9,32760
Phường Phước Bình Quận 9,11,1,0,1,739.5,29619.39662
Phường Tân Quý Quận Tân Phú,5,1,0,1,364.2,17076.744
Phường 8 Quận 11,8,0,0,0,159.3,17917.9
Phường 4 Quận Tân Bình,6,1,1,1,435.8,26323.55
Phường 13 Quận 3,8,1,0,1,372.6,23918.4
Phường Tân Tạo Quận Bình Tân,27,1,0,1,401.7,17834.065
Phường 13 Quận Bình Thạnh,5,1,0,1,263.2,12377.09
Phường 7 Quận Phú Nhuận,9,0,0,0,243.7,7029.75
Phường 15 Quận 10,22,0,0,0,438,26005.716
Phường 14 Quận 3,5,0,0,0,412.1,35775.48
Phường 14 Quận Gò Vấp,30,1,0,1,614,21205.125
Phường 15 Quận Tân Bình,25,0,0,0,702,15679.46
Phường Hiệp Tân Quận Tân Phú,6,1,0,1,103,8526
Phường 2 Quận 6,11,0,0,0,720.9,36012.5
Phường 8 Quận Tân Bình,15,1,0,1,454.9,38976
Phường 12 Quận 10,8,0,0,0,305.7,13952.25
Phường Phú Trung Quận Tân Phú,9,1,0,1,349.6,8314.416
Phường 9 Quận Tân Bình,12,1,1,1,279.5,24480
Phường 4 Quận 4,8,1,0,0,633.7,25119.36
Phường 14 Quận 10,16,1,1,1,591.3,31015.18395
Phường 2 Quận Phú Nhuận,12,0,1,1,658.4,19402.032
Phường 6 Quận 3,4,1,0,1,240.6,27994.496
Phường Phú Mỹ Quận 7,7,1,0,1,379.4,16799.4
Phường Tân Quý Quận Tân Phú,6,1,0,1,487.4,14071.37508
Phường 17 Quận Bình Thạnh,12,1,0,1,480.2,34978.86
Phường 9 Quận 5,6,0,0,0,225.3,17220
Phường 5 Quận 5,10,1,0,1,417.2,27142.328
Phường 5 Quận 11,8,0,0,0,224,14193.557
Phường 6 Quận Gò Vấp,8,1,0,1,414,24240.2784
Phường Thới An Quận 12,25,1,0,1,522,14004
Phường 9 Quận Gò Vấp,12,1,0,1,391.9,13184.904
Phường 11 Quận 6,6,1,0,1,303.3,16999.2
Phường 13 Quận Bình Thạnh,5,1,0,1,272.6,9543.6
Phường 1 Quận 6,12,0,0,0,544,13650
Phường 8 Quận Tân Bình,5,0,0,0,343.2,36760.8
Phường 5 Quận Bình Thạnh,4,1,0,1,480,12496
Phường 14 Quận 10,9,0,0,0,417,22264.72
Phường Tân Quy Quận 7,5,1,1,1,269.3,15545.184
Phường Tân Quy Quận 7,7,0,0,0,330,14441.72
Phường 14 Quận Bình Thạnh,18,0,0,0,439.3,32544
Phường 14 Quận 3,3,0,0,0,215.6,19180.8
Phường Tân Thuận Tây Quận 7,6,1,0,1,307.5,12558
Phường 2 Quận Phú Nhuận,16,0,0,1,439.4,32178.6
Phường Tân Thuận Tây Quận 7,7,0,0,0,378.4,15898.96
Phường 9 Quận 3,15,0,0,0,201,14681.6
Phường Nguyễn Cư Trinh Quận 1,10,1,1,1,208.7,16201.28
Phường 13 Quận 10,6,0,0,0,598.9,41018.5815
Phường 2 Quận 5,6,1,0,1,91.4,21149.5515
Phường 2 Quận 11,9,1,0,1,258.6,16050.516
Phường Tân Hưng Thuận Quận 12,10,1,0,1,396.1,16239.29328
Phường 8 Quận 3,12,1,0,1,280.7,26858.3
Phường 13 Quận 3,9,0,0,0,325,13343.68
Phường 1 Quận 10,10,0,0,0,217.6,34133.832
Phường Đa Kao Quận 1,8,0,0,0,298.5,38707.2
Phường 11 Quận 10,4,0,0,0,280.4,19051.8048
Phường Phú Thọ Hòa Quận Tân Phú,6,1,1,1,259.9,8763.885
Phường 1 Quận 10,5,0,0,0,233.5,8729.903
Phường Phạm Ngũ Lão Quận 1,13,0,1,0,339.5,27412.0875
Phường 2 Quận Phú Nhuận,10,0,1,1,331.5,19828.599
Phường 8 Quận 3,8,1,0,1,345.9,12096.96645
Phường 13 Quận Bình Thạnh,4,0,0,1,893,48560
Phường Cô Giang Quận 1,28,1,0,1,884.4,57270
Phường 8 Quận Phú Nhuận,7,1,1,1,350,20030.625
Phường 8 Quận Phú Nhuận,11,1,0,1,526.4,40094.29125
Phường An Lạc A Quận Bình Tân,19,1,1,1,409.1,36072
Phường Tân Định Quận 1,32,1,1,1,641.9,37875.25
Phường 3 Quận Bình Thạnh,7,1,0,1,184,9498.5
Phường 12 Quận Bình Thạnh,30,0,0,1,850,19006
Phường 8 Quận 3,5,0,0,0,633.1,54000
Phường 11 Quận 3,18,0,0,0,430,19368.6
Phường 14 Quận Phú Nhuận,28,0,1,1,891,35815.725
Phường 11 Quận Bình Thạnh,4,0,0,1,352.8,22558.66646
Phường Hiệp Tân Quận Tân Phú,5,0,0,0,499.8,16638.076
Phường Tân Định Quận 1,20,1,0,1,806.1,35716.8045
Phường 8 Quận Phú Nhuận,7,0,0,0,245.9,15467.76
Xã Phong Phú Huyện Bình Chánh,4,1,0,1,480.8,24992
Phường Phước Bình Quận 9,5,1,1,1,640,20992
Phường Tây Thạnh Quận Tân Phú,35,1,0,1,635.5,14943.04
Phường 11 Quận Gò Vấp,5,1,0,1,464,14620.176
Phường 10 Quận 6,21,0,0,0,520.8,21872
Phường 11 Quận 6,3,1,0,1,312.2,14875.2
Phường 16 Quận 11,12,0,0,0,325,34444.8
Phường 16 Quận Gò Vấp,5,1,1,1,193.5,5275.304
Phường 15 Quận 5,11,1,1,1,520,39348.342
Phường 2 Quận 10,6,1,1,1,627.8,54596.1925
Phường Thạnh Mỹ Lợi Quận 2,45,1,0,1,960,28120.93536
Phường 14 Quận 10,28,0,0,0,396,66309.12
Xã Bà Điểm Huyện Hóc Môn,5,1,1,1,74.6,4893.76
khu Hà Đô Phường 12,8,0,0,0,358.1,58042.6
Phường 13 Quận Phú Nhuận,4,0,0,0,35.8,7465.5
Phường Bến Thành Quận 1,11,1,0,1,353,29253
Phường Phước Long A Quận 9,5,1,0,1,400,16236.4608
Phường 10 Quận 8,7,1,0,1,303.3,22961.664
Phường Phú Thạnh Quận Tân Phú,18,1,0,1,410,13313.3
Phường Cầu Kho Quận 1,8,1,1,1,242.1,16934.4
Phường 4 Quận 3,6,1,0,1,376,28688.64
Phường 13 Quận 10,5,0,0,0,162.5,27441.6192
Phường Đa Kao Quận 1,4,1,1,1,415.9,30910.153
Phường Sơn Kỳ Quận Tân Phú,5,1,0,1,228.5,7866
Phường Hiệp Bình Phước Thành phố Thủ Đức,6,1,0,1,329.9,12403.2
Phường Thạnh Mỹ Lợi Quận 2,1,1,1,1,450,11004
Phường 11 Quận Bình Thạnh,5,1,0,1,327.3,24573.6
Phường 9 Quận Phú Nhuận,6,1,1,1,368.6,25225.2
Phường Phú Trung Quận Tân Phú,5,0,0,0,916,27397.58016
Phường 1 Quận Bình Thạnh,8,0,0,0,318.8,18676.2552
Phường 7 Quận 5,5,1,0,1,96.5,14894.748
Phường 4 Quận 11,6,1,0,1,343.8,30552
Phường Bình Trị Đông A Quận Bình Tân,7,1,0,1,260.6,12973.569
Phường 15 Quận Bình Thạnh,4,0,0,0,286.6,22154.8945
Phường 2 Quận 3,4,1,0,1,98.7,11269.0248
Phường Hiệp Bình Chánh Thành phố Thủ Đức,26,1,0,1,600,30016.25
Phường 10 Quận 10,7,1,1,1,118.3,7775.21663
Phường 15 Quận 4,7,1,0,1,232.1,14658.429
Phường 10 Quận Phú Nhuận,5,0,0,0,288.5,11477.7648
Phường 12 Quận 10,10,0,0,0,146.4,16507.5982
Phường Tam Bình Thành phố Thủ Đức,4,1,1,1,352.2,13179.58954
