SalePrice,location_street,location_ward,location_district,number_of_toilet,access_to_school,access_to_hospital,access_to_market,number_of_floor,is_having_basement,is_having_attic_floor,is_having_rooftop,alley_width,number_of_bedroom,loc_lat,loc_long,total_sqft
3044,Đường Lê Lai,Phường Bến Thành Quận 1,Quận 1,54,1,1,1,11.5,0,0,1,15,54,10.7700763,106.6940423,1.522
68031.84,Đường Lê Trọng Tấn,Phường Bình Hưng Hòa Quận Bình Tân,Quận Bình Tân,9,1,1,1,8,0,0,1,20,8,10.8137881,106.6063325,2219.3
22160.061,Đường Lô C Cư Xá Phú Lâm D,Phường 10 Quận 6,Quận 6,21,0,0,0,8,0,0,0,10,21,10.737073,106.6263651,787.5
42668.8444,Đường Bạch Đằng,Phường 15 Quận Bình Thạnh,Quận Bình Thạnh,8,0,0,1,7.5,0,0,1,15,7,10.7964012,106.70033,656.7
35430.20544,Đường Phạm Văn Bạch,Phường 15 Quận Tân Bình,Quận Tân Bình,12,1,1,1,7.5,1,0,0,30,12,10.8292714,106.6415899,1062.6
38461.25395,Đường Số 26,Phường 10 Quận 6,Quận 6,14,1,0,1,7,0,0,1,20,12,10.7420309,106.6282173,590
45344,Đường Lê Hồng Phong,Phường 12 Quận 10,Quận 10,45,0,0,0,7,0,0,1,8,45,10.775651,106.6704864,745.1
27283.12,Đường Hà Huy Giáp,Phường Thạnh Lộc Quận 12,Quận 12,7,1,0,1,7,0,0,1,10,25,10.8783651,106.6845103,619.8
24967.13296,Đường số 58,Phường 10 Quận 6,Quận 6,17,1,0,1,7,0,0,1,15,16,10.737073,106.6263651,585.4
71339.1,Đường Hồ Văn Huê,Phường 9 Quận Phú Nhuận,Quận Phú Nhuận,7,0,0,0,7,0,0,1,20,7,10.8058889,106.6784338,724
26521.74,Đường Số 2,Phường 4 Quận 3,Quận 3,6,1,1,1,7,0,0,0,8,6,10.7732105,106.6819136,219
4493.76,Đường Số 59,Phường 14 Quận Gò Vấp,Quận Gò Vấp,6,1,0,0,7,0,0,0,5,10,10.8430374,106.6371653,30.2
24916.356,Đường Điện Biên Phủ,Phường 17 Quận Bình Thạnh,Quận Bình Thạnh,2,0,0,1,7,0,0,0,8.19,3,10.8012428,106.7109826,115.8
